age_group,accident_type,total,제1종,제2종,연습면허,무면허,국제면허,기타
all_age,accident,211273.6,142449.6,54029.0,88.6,5075.8,107.0,9523.6
all_age,dead,3172.4,2175.6,686.4,1.2,152.6,1.4,155.20000000000002
all_age,injured,308870.8,211869.0,79086.4,133.0,7168.4,159.4,10454.6
10,accident,6890.4,1435.4,3167.6,20.4,1063.0,3.4,1200.6
10,dead,90.4,25.0,40.2,0.4,20.8,0.0,4.0
10,injured,9788.6,2308.8,4645.0,35.6,1466.4,4.2,1328.6000000000001
20,accident,29022.6,16496.4,10963.6,28.6,906.0,37.0,591.0
20,dead,375.2,239.6,113.2,0.0,17.2,0.8,4.4
20,injured,43910.4,25350.4,16460.0,44.0,1330.4,57.8,667.8
30,accident,31781.6,21982.8,8671.4,10.8,645.0,28.4,443.2
30,dead,398.0,304.8,74.6,0.2,14.4,0.0,4.0
30,injured,47225.6,32872.4,12835.6,14.4,964.6,41.2,497.40000000000003
40,accident,38880.8,28736.8,8892.2,9.6,629.4,14.4,598.4000000000001
40,dead,523.4,432.4,68.8,0.2,14.8,0.0,7.2
40,injured,57055.2,42443.4,12978.4,11.2,939.4,20.4,662.4
50,accident,50277.0,38126.6,10298.4,9.2,860.2,11.8,970.8
50,dead,730.8,574.0,107.6,0.2,27.6,0.0,21.4
50,injured,73559.0,56213.6,15008.2,13.6,1244.8,16.8,1062.0
60,accident,18771.0,14370.2,3660.8,2.0,281.6,2.6,453.8
60,dead,298.2,223.0,50.8,0.0,10.2,0.4,13.8
60,injured,27446.8,21245.4,5317.2,2.4,385.2,3.4,493.2
65,accident,32163.2,21301.0,8375.0,8.0,689.6,7.2,1782.4
65,dead,755.2,376.8,231.2,0.2,47.6,0.2,99.2
65,injured,45991.0,31434.6,11842.0,11.8,836.6,11.4,1854.6000000000001
