"연령대별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령대별(1)",총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종,총계,1종,1종,1종,1종,1종,1종,1종,2종,2종,2종,2종
"연령대별(1)",소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자,소계,소계,대형,보통,소형,대형 견인,소형 견인,구난,소계,보통,소형,원자
"계",32649584,20597365,2398248,18194473,10,2626,1200,808,12052219,11738990,10588,302641,33190565,20761622,2454730,18301557,10,2707,1742,876,12428943,12128310,11401,289232,33729806,20896637,2504069,18386385,8,2787,2422,966,12833169,12548292,12396,272481,34133763,20963851,2540135,18416676,8,2869,3115,1048,13169912,12905250,13281,251381
"16세",1807,-,-,-,-,-,-,-,1807,-,-,1807,2197,-,-,-,-,-,-,-,2197,-,-,2197,2068,0,0,0,0,0,0,0,2068,0,0,2068,1887,0,0,0,0,0,0,0,1887,0,0,1887
"17세",4078,-,-,-,-,-,-,-,4078,-,-,4078,4854,-,-,-,-,-,-,-,4854,-,-,4854,4949,0,0,0,0,0,0,0,4949,0,0,4949,4299,0,0,0,0,0,0,0,4299,0,0,4299
"18세",62697,33393,-,33393,-,-,-,-,29304,25507,152,3645,53258,28078,-,28078,-,-,-,-,25180,22321,131,2728,64179,34569,0,34569,0,0,0,0,29610,26663,167,2780,57189,29120,0,29120,0,0,0,0,28069,25126,230,2713
"19세",222602,116608,613,115990,-,2,-,3,105994,102608,208,3178,224932,113096,729,112365,-,-,-,2,111836,109397,180,2259,208437,107454,768,106683,0,0,0,3,100983,99210,175,1598,208793,105937,640,105295,0,0,1,1,102856,101140,237,1479
"20세",274358,137469,2705,134752,-,3,2,7,136889,133834,216,2839,306446,146796,3096,143684,-,5,1,10,159650,156613,243,2794,296718,139187,3240,135929,0,4,1,13,157531,155273,238,2020,264166,127541,2620,124907,0,4,0,10,136625,135071,220,1334
"21세",334025,161598,7257,154324,-,2,1,14,172427,169976,166,2285,334662,156507,7723,148759,-,7,4,14,178155,175292,264,2599,371058,167860,8676,159151,0,8,4,21,203198,200219,325,2654,338938,152466,7482,144951,0,6,3,24,186472,184374,299,1799
"22세",407544,196957,12519,184407,-,6,1,24,210587,208031,213,2343,389760,178809,12819,165957,-,7,5,21,210951,208607,214,2130,393650,174828,13481,161308,0,14,4,21,218822,216097,346,2379,418965,182060,13384,168627,0,15,6,28,236905,234177,374,2354
"23세",454737,217772,15415,202303,-,12,12,30,236965,234212,277,2476,452722,208856,16137,192664,-,13,5,37,243866,241373,301,2192,440058,192025,16490,175479,0,16,8,32,248033,245633,305,2095,433535,184476,16086,168333,0,18,8,31,249059,246654,352,2053
"24세",504303,244053,18814,225200,-,14,5,20,260250,257384,263,2603,492927,227209,18264,208872,-,21,16,36,265718,263078,344,2296,492427,217934,19121,198728,0,25,10,50,274493,272085,355,2053,472820,199246,18552,180614,0,32,12,36,273574,271301,361,1912
"25세",540063,267523,21457,246015,-,22,5,24,272540,270081,263,2196,537839,251660,21487,230108,-,19,11,35,286179,283466,330,2383,527536,234902,20958,213853,0,29,17,45,292634,290082,397,2155,520639,223702,21047,202551,0,34,12,58,296937,294686,414,1837
"26세",566066,289868,23784,266031,-,24,6,23,276198,274176,244,1778,567335,273119,23970,249077,-,31,12,29,294216,291867,310,2039,567317,257577,24027,233467,0,30,17,36,309740,307248,371,2121,551456,239302,22684,216496,0,39,29,54,312154,309775,446,1933
"27세",596583,316367,25870,290457,-,13,7,20,280216,278348,265,1603,587474,293638,25989,267579,-,28,19,23,293836,291873,293,1670,590991,277430,26266,251065,0,43,22,34,313561,311342,362,1857,587777,261027,25669,235247,0,44,25,42,326750,324420,418,1912
"28세",595097,317505,26529,290923,-,15,15,23,277592,275874,224,1494,615206,319394,28045,291295,-,17,13,24,295812,293997,292,1523,606356,296319,28011,268222,0,36,24,26,310037,308150,328,1559,608485,279792,27851,251813,0,45,37,46,328693,326613,390,1690
"29세",559503,304994,24915,280003,-,30,18,28,254509,252991,181,1337,610032,319836,28548,291220,-,18,24,26,290196,288561,249,1386,631280,321487,29937,291474,0,24,23,29,309793,308041,328,1424,620436,297923,29446,268364,0,43,42,28,322513,320738,342,1433
"30세",562758,308850,24926,283855,-,25,16,28,253908,252410,184,1314,570894,306790,26588,280108,-,31,34,29,264104,262657,202,1245,623448,321531,30241,291199,0,24,38,29,301917,300348,266,1303,643431,322606,31312,291196,0,30,37,31,320825,319142,352,1331
"31세",567158,320662,24804,295800,-,23,18,17,246496,245012,162,1322,572244,310260,26404,283771,-,31,26,28,261984,260536,202,1246,581433,308087,28070,279897,0,39,49,32,273346,271914,231,1201,633679,322366,31472,290777,0,27,57,33,311313,309799,296,1218
"32세",566504,325488,25167,300253,-,25,24,19,241016,239530,148,1338,575356,321871,26125,295667,-,24,36,19,253485,252035,184,1266,580821,311076,27721,283240,0,31,52,32,269745,268347,206,1192,589883,308854,29151,279564,0,40,67,32,281029,279666,244,1119
"33세",579769,345061,26834,318172,-,16,23,16,234708,233116,158,1434,573585,326522,26398,300034,-,27,43,20,247063,245632,158,1273,582844,322605,27322,295163,0,26,71,23,260239,258846,197,1196,588027,311625,28645,282848,0,32,70,30,276402,275049,211,1142
"34세",602933,371849,30047,341734,-,16,31,21,231084,229488,172,1424,585842,345869,28092,317697,-,18,46,16,239973,238424,172,1377,580032,327125,27480,299518,0,33,70,24,252907,251488,178,1241,589092,323035,28257,294624,0,33,97,24,266057,264700,206,1151
"35세",613950,390362,31209,359065,-,24,40,24,223588,221926,157,1505,608160,372659,31310,341256,-,19,54,20,235501,233959,173,1369,591320,346322,29219,316995,0,21,72,15,244998,243455,191,1352,585741,327551,28316,299083,0,39,89,24,258190,256800,179,1211
"36세",694134,457031,38869,418070,-,28,41,23,237103,235438,176,1489,618617,391203,32485,358596,-,28,67,27,227414,225802,161,1451,612848,373042,32466,340447,0,21,87,21,239806,238306,192,1308,595975,346566,30170,316260,0,23,96,17,249409,247900,202,1307
"37세",762603,513588,44991,468496,-,33,47,21,249015,247153,173,1689,698581,458225,40301,417799,-,34,68,23,240356,238711,183,1462,622738,391566,33617,357783,0,30,107,29,231172,229571,167,1434,617125,373351,33423,339756,0,27,120,25,243774,242310,206,1258
"38세",778153,533008,48111,484801,-,38,38,20,245145,243433,183,1529,766562,514804,46465,468213,-,36,71,19,251758,249927,187,1644,702492,458566,41603,416795,0,40,106,22,243926,242274,201,1451,626144,391840,34582,357064,0,33,132,29,234304,232748,172,1384
"39세",775058,534987,49802,485081,-,39,45,20,240071,238411,180,1480,781463,534160,49557,484485,-,35,62,21,247303,245610,182,1511,769982,514954,47811,466986,0,37,102,18,255028,253248,192,1588,705631,458870,42610,416056,0,42,139,23,246761,245141,199,1421
"40세",767920,529249,51588,477530,-,53,60,18,238671,237014,189,1468,778170,536284,51309,484848,-,39,67,21,241886,240257,185,1444,784381,534358,50866,483335,0,33,100,24,250023,248358,184,1481,772943,515138,48903,466049,0,35,135,16,257805,256043,200,1562
"41세",669653,464275,48428,415735,-,41,48,23,205378,203835,160,1383,770515,530444,53027,477264,-,56,79,18,240071,238455,198,1418,780647,536347,52634,483551,0,41,100,21,244300,242659,200,1441,786894,534430,51934,482303,0,36,132,25,252464,250823,194,1447
"42세",718644,492746,52490,440134,-,50,44,28,225898,224384,157,1357,671861,465499,49771,415602,-,42,63,21,206362,204844,156,1362,772832,530600,54276,476143,0,57,106,18,242232,240619,201,1412,782727,536358,53811,482347,0,42,134,24,246369,244743,214,1412
"43세",702948,481538,53264,428132,-,71,54,17,221410,219947,127,1336,720619,494081,53804,440130,-,52,68,27,226538,225038,165,1335,673530,465563,50892,414527,0,42,83,19,207967,206473,160,1334,774573,530738,55416,475116,0,56,130,20,243835,242257,210,1368
"44세",723208,492084,56411,435571,-,54,29,19,231124,229625,144,1355,704551,482666,54625,427868,-,76,80,17,221885,220435,129,1321,721882,494178,54973,439039,0,54,87,25,227704,226193,178,1333,674994,465583,51909,413505,0,44,104,21,209411,207942,167,1302
"45세",781660,533365,63883,469334,-,83,41,24,248295,246590,178,1527,724755,493151,57749,435282,-,58,43,19,231604,230116,147,1341,705716,482770,55737,426835,0,75,106,17,222946,221515,135,1296,723051,494189,55939,438062,0,54,109,25,228862,227357,190,1315
"46세",807859,547283,67151,479969,-,100,44,19,260576,258880,141,1555,783164,534450,65222,469061,-,90,53,24,248714,247043,185,1486,725862,493299,58874,434276,0,63,66,20,232563,231081,161,1321,706784,482834,56815,425798,0,75,130,16,223950,222529,147,1274
"47세",807369,547962,68483,479323,-,103,38,15,259407,257549,145,1713,809326,548470,68503,479791,-,101,58,17,260856,259186,147,1523,783943,534375,66232,467962,0,92,66,23,249568,247892,186,1490,726738,493281,59836,433272,0,64,91,18,233457,231989,168,1300
"48세",844989,573991,73941,499904,-,90,38,18,270998,269062,142,1794,808497,548915,69742,479008,-,101,47,17,259582,257754,151,1677,810389,548618,69564,478860,0,101,74,19,261771,260093,151,1527,784731,534207,67176,466842,0,88,78,23,250524,248866,193,1465
"49세",817224,556002,72720,483122,-,97,37,26,261222,259041,184,1997,846221,574956,75260,499534,-,93,50,19,271265,269340,155,1770,809234,548853,70689,477985,0,95,67,17,260381,258579,156,1646,811077,548569,70444,477913,0,102,92,18,262508,260842,163,1503
"50세",813344,553058,74012,478892,-,99,40,15,260286,257993,170,2123,818268,556813,73868,482781,-,94,46,24,261455,259310,191,1954,846850,574879,76238,498465,0,94,63,19,271971,270072,160,1739,809800,548566,71531,476845,0,96,77,17,261234,259454,159,1621
"51세",807054,552030,75399,476474,-,104,32,21,255024,252352,164,2508,814321,553921,75052,478705,-,99,52,13,260400,258133,178,2089,818840,556599,74651,481773,0,96,56,23,262241,260125,190,1926,847168,574525,77007,497329,0,96,74,19,272643,270772,168,1703
"52세",741980,504533,70071,434316,-,104,29,13,237447,234785,169,2493,807708,552643,76438,476035,-,104,45,21,255065,252452,165,2448,814728,553652,75924,477554,0,96,66,12,261076,258833,178,2065,819148,556113,75412,480521,0,92,66,22,263035,260952,189,1894
"53세",697115,483291,70596,412549,-,100,30,16,213824,210845,172,2807,742260,504854,70920,433772,-,108,41,13,237406,234769,176,2461,807802,552058,77184,474706,0,98,51,19,255744,253176,174,2394,814713,553147,76655,476304,0,98,80,10,261566,259385,185,1996
"54세",718262,487967,69819,418017,-,91,23,17,230295,226994,171,3130,697170,483420,71482,411786,-,98,37,17,213750,210812,174,2764,742318,504507,71606,432727,0,111,50,13,237811,235224,179,2408,807626,551363,77918,473273,0,97,61,14,256263,253745,178,2340
"55세",695873,471777,68081,403575,-,87,21,13,224096,220614,155,3327,718094,488125,70720,417267,-,89,32,17,229969,226727,178,3064,696683,482683,72017,410508,0,97,44,17,214000,211092,185,2723,741802,503597,72096,431322,0,108,58,13,238205,235658,181,2366
"56세",655937,442503,64581,377817,-,73,25,7,213434,209729,188,3517,695602,471824,68660,403038,-,89,25,12,223778,220349,156,3273,717262,487239,71170,415932,0,85,37,15,230023,226825,182,3016,695837,481561,72449,408944,0,98,52,18,214276,211402,195,2679
"57세",712643,483774,71978,411670,-,92,24,10,228869,224309,208,4352,655467,442360,65149,377102,-,72,29,8,213107,209450,195,3462,694670,470893,69000,401759,0,86,34,14,223777,220402,162,3213,716480,486077,71469,414461,0,85,48,14,230403,227259,186,2958
"58세",719807,486229,72645,413473,-,80,22,9,233578,228222,202,5154,711597,483257,72343,410782,-,95,27,10,228340,223840,208,4292,654338,441394,65416,375865,0,70,35,8,212944,209332,198,3414,693512,469642,69229,400273,0,86,40,14,223870,220548,169,3153
"59세",711831,478035,71805,406129,-,80,14,7,233796,227954,234,5608,718354,485534,73046,412377,-,77,26,8,232820,227534,211,5075,709908,481802,72505,409157,0,98,32,10,228106,223676,215,4215,653137,440069,65717,374233,0,68,44,7,213068,209518,198,3352
"60세",645013,432394,64570,367718,-,74,22,10,212619,206826,200,5593,710207,477083,72332,404651,-,77,17,6,233124,227355,238,5531,716338,484089,73356,410625,0,69,31,8,232249,227057,216,4976,708128,480077,72860,407072,0,97,38,10,228051,223696,227,4128
"61세",579768,388408,58590,329728,-,65,17,8,191360,185809,187,5364,643329,431358,64632,366616,-,74,26,10,211971,206257,206,5508,707959,475348,72265,402980,0,81,18,4,232611,226929,246,5436,714086,481916,73356,408444,0,68,40,8,232170,227077,217,4876
"62세",560994,373793,56425,317296,-,59,9,4,187201,181388,185,5628,577898,387157,58524,328543,-,65,17,8,190741,185263,189,5289,640822,429460,64397,364952,0,73,28,10,211362,205744,211,5407,705584,472977,72100,400759,0,82,32,4,232607,226993,248,5366
"63세",492433,324491,50001,274425,1,48,10,6,167942,161741,206,5995,558857,372363,56224,316058,-,60,17,4,186494,180754,192,5548,575369,385159,58218,326847,0,64,22,8,190210,184830,193,5187,638212,426944,64164,362667,0,68,35,10,211268,205717,210,5341
