구분,1종대형,1종보통,1종소형,대형견인,소형견인,구난,2종보통,2종소형,원자
16,0,0,0,0,0,0,0,0,2830
17,0,0,0,0,0,0,0,0,7165
18,0,56539,0,0,0,0,40027,118,5412
19,1066,117088,0,0,0,2,100029,111,3120
20,3066,164295,0,1,1,6,154885,135,2724
21,6599,182536,0,6,2,20,180112,166,3178
22,11920,207077,0,7,1,19,207106,207,3390
23,16024,230957,0,9,0,10,227466,196,2914
24,18865,252647,0,16,1,13,238943,206,2341
25,21354,283064,0,5,3,10,248652,213,1962
26,22616,289548,0,7,5,16,250798,228,1804
27,21404,276613,0,18,4,18,236222,181,1580
28,22009,284484,0,16,5,24,235437,167,1507
29,21995,291770,0,16,10,16,231661,147,1467
30,22729,298457,0,23,8,21,225537,151,1453
31,23315,311548,0,14,5,12,222438,149,1566
32,26709,335989,0,22,10,20,218894,149,1622
33,27822,349280,0,18,11,15,210651,152,1616
34,33870,406602,0,22,17,27,223393,173,1575
35,40636,455950,0,29,22,23,235379,178,1736
36,44351,485641,0,26,19,25,240623,179,1682
37,46000,481417,0,45,16,22,232531,168,1562
38,48976,482810,0,47,19,19,235383,165,1534
39,45813,428924,0,44,26,26,212357,180,1410
40,49141,434351,0,55,16,32,219603,157,1435
41,49180,419824,0,64,19,17,217144,133,1338
42,53234,431401,0,55,25,28,231563,128,1438
43,59305,454693,0,87,21,20,247809,171,1537
44,63815,475594,0,103,16,22,263882,135,1613
45,65118,470917,0,98,16,20,263164,150,1779
46,69458,486018,0,98,11,15,271078,125,1808
47,70906,487021,0,96,17,29,270237,176,2010
48,69986,468406,0,94,23,21,260472,162,2135
49,73772,477648,0,96,6,24,260448,151,2479
50,67692,430998,0,108,11,10,237680,150,2457
51,68516,417118,0,98,14,18,222908,166,2755
52,68915,419382,0,97,9,13,229473,178,3240
53,67577,410676,0,99,7,18,228736,150,3390
54,61783,369438,0,86,12,9,210802,163,3476
55,69721,408781,0,77,11,11,228953,200,4327
56,69498,400832,0,90,12,10,225496,204,4855
57,73440,420732,0,80,9,7,239269,226,5820
58,66335,381257,0,77,8,10,218249,195,5811
59,59209,338270,0,71,7,8,193491,187,5576
60,56309,318716,0,53,8,6,183508,190,5627
61,51254,285189,0,55,8,7,167908,184,5994
62,48709,265570,1,47,6,4,159834,202,6365
63,47427,255474,0,51,1,3,154554,174,6758
64,34149,190741,0,45,4,1,119237,122,5629
65,34193,192800,0,29,4,1,123373,160,6807
66,27012,150489,0,18,6,2,96245,135,6668
67,23392,132295,0,34,3,0,87914,109,6844
68,21901,129442,0,17,0,2,90848,116,7728
69,19334,119068,0,21,0,1,86282,128,8225
70,17705,109568,0,18,3,2,83358,127,8891
71,15109,94615,0,12,0,2,75695,123,8722
72,10352,63458,0,4,0,3,54568,100,7018
73,10504,61358,0,7,0,1,55676,73,8881
74,8703,51043,0,7,2,1,48980,97,8956
75,9500,56126,0,9,0,0,56919,121,13427
76,7333,44306,1,3,2,0,48724,96,12376
77,5270,31231,2,5,0,0,38392,48,10250
78,4643,26320,2,5,0,0,35324,43,10939
79,3690,21281,0,3,0,0,29747,45,10217
80,2706,16253,1,2,0,1,24959,41,9138
81,1947,12496,1,5,0,0,20915,35,8546
82,1413,8647,0,3,0,0,17373,30,7536
83,925,6225,0,1,0,0,13413,20,6313
84,626,4143,0,1,0,0,9558,13,4949
85,448,2956,0,0,0,1,7149,5,3843
86,291,1973,0,0,0,0,5126,7,2892
87,219,1332,0,2,0,0,3462,9,1926
88,158,983,0,0,0,0,2760,7,1561
89,107,730,1,0,0,0,2092,7,1195
90,73,483,0,0,0,0,1419,5,854
91,52,262,0,1,0,0,865,4,562
92,24,168,0,0,0,0,582,3,341
93,20,125,0,0,0,0,448,1,235
94,33,116,2,0,0,0,389,1,167
95,18,106,0,0,0,0,328,2,146
96,10,66,0,1,0,0,172,0,84
97,11,46,0,0,0,0,105,0,52
98,7,34,0,0,0,0,73,0,35
99 이상,12,76,0,0,0,0,221,0,36
