지역별,성별,1종_대형,1종_보통,1종_소형,1종_대형견인,1종_소형견인,1종_구난,2종_보통,2종_소형,2종_원자
서울,남,251817,2291865,1,157,303,96,919143,3749,27652
서울,여,8173,755633,0,11,99,0,2021231,295,4286
부산,남,132596,818458,3,726,56,50,212681,1072,9915
부산,여,3369,287039,0,29,21,0,562730,33,1930
대구,남,110487,648174,0,50,96,22,113037,605,7209
대구,여,2932,290779,0,4,36,0,405145,18,1779
인천,남,152721,766521,2,239,105,62,199307,566,6131
인천,여,4666,282276,0,22,40,2,535442,32,1055
광주,남,81550,364886,0,43,64,32,75554,214,3594
광주,여,2932,175176,0,2,29,2,249138,7,649
대전,남,66006,375477,0,37,95,35,92917,327,3912
대전,여,1935,162580,0,5,22,0,254260,16,841
울산,남,60159,312288,0,65,44,10,63842,241,3046
울산,여,1880,134332,0,4,16,1,190412,6,538
세종,남,16534,96514,0,11,32,12,22093,36,1219
세종,여,666,44752,0,1,18,0,72883,3,391
경기남부,남,428137,2681917,1,300,629,302,777468,1954,21414
경기남부,여,13505,943774,0,19,182,10,2016702,118,3326
경기북부,남,174170,894833,1,65,289,76,246448,712,7614
경기북부,여,5826,335341,0,7,80,9,690125,32,1124
강원,남,102699,390692,0,30,59,17,86427,260,7444
강원,여,2876,184864,0,4,30,1,238074,9,1442
충북,남,100053,420149,0,73,55,28,94956,326,9883
충북,여,3030,180418,0,11,25,0,254637,8,3063
충남,남,137056,543820,0,94,162,42,133734,472,17671
충남,여,3876,222457,0,16,56,3,339588,14,5613
전북,남,125739,430013,0,73,49,27,94104,365,12741
전북,여,3427,200518,0,11,21,0,267981,11,3691
전남,남,132968,434582,0,157,53,46,96611,325,16966
전남,여,4010,190019,0,8,16,1,256450,4,5844
경북,남,168112,707378,0,179,135,64,114945,546,20457
경북,여,3756,363280,0,9,42,2,336337,13,7558
경남,남,180761,854877,0,361,91,86,193012,743,18873
경남,여,5306,364616,0,36,31,0,520269,11,7424
제주,남,45061,168677,0,10,28,10,45098,128,2625
제주,여,1344,97701,0,0,6,0,112469,10,2461
