지방청,2015 65세 이상,2015 전체,2016 65세 이상,2016 전체,2017 65세 이상,2017 전체,2018 65세 이상,2018 전체,2019 65세 이상,2019 전체,2020 65세 이상,2020 전체,2021 65세 이상,2021 전체,2022 65세 이상,2022 전체,2023 65세이상,2023 전체
서울,348,451,447,561,799,928,1387,1551,17393,17602,14296,14440,15391,15465,23066,23246,26005,26195
부산,128,169,214,265,407,461,5280,5361,9846,9952,6822,6878,7147,7201,10585,10688,11109,11196
경기남부,295,410,358,461,660,756,1239,1396,14055,14222,13034,13161,14392,14485,18906,19123,18210,18388
강원,56,78,93,119,151,173,454,487,1382,1420,3428,3454,3210,3229,4019,4058,3642,3689
충북,49,76,56,79,124,143,214,245,1283,1321,1707,1741,2168,2186,2851,2884,2893,2926
충남,17,31,34,51,99,113,222,253,1830,1882,2423,2459,2885,2907,3887,3939,3576,3626
전북,28,37,27,34,125,156,314,337,942,967,3405,3433,3363,3378,4299,4340,4424,4451
전남,24,30,50,65,62,75,181,202,1671,1714,2122,2149,2299,2317,3630,3651,3512,3543
경북,27,42,28,52,123,151,313,341,1104,1149,4133,4162,4145,4175,4948,5015,4926,4980
경남,75,111,97,124,212,252,496,558,3813,3874,4341,4403,4287,4345,5713,5784,5706,5780
제주,16,25,21,30,61,68,98,110,1139,1152,1072,1079,1004,1014,1330,1346,1304,1322
대구,124,167,146,178,216,251,381,425,5270,5331,5064,5107,5749,5765,7145,7184,5784,5833
인천,129,217,100,142,245,306,455,512,3978,4046,1785,1840,4847,4874,6154,6221,6100,6185
광주,24,28,44,54,95,114,242,257,1603,1640,2337,2350,2325,2334,2983,3000,2579,2599
대전,52,76,63,83,101,122,153,173,1973,2001,2443,2471,2514,2531,3495,3525,3055,3105
울산,23,36,31,51,49,63,145,169,270,292,1636,1651,1443,1453,1488,1506,1622,1646
경기북부,0,0,94,113,152,185,343,392,5689,5758,5891,5937,6707,6744,8332,8418,8208,8271
세종,0,0,0,0,0,0,0,0,52,57,63,69,121,123,111,117,241,245
