age_group,total
10,2197
10,4854
10,53258
10,224932
20,306446
20,334662
20,389760
20,452722
20,492927
20,537839
20,567335
20,587474
20,615206
20,610032
30,570894
30,572244
30,575356
30,573585
30,585842
30,608160
30,618617
30,698581
30,766562
30,781463
40,778170
40,770515
40,671861
40,720619
40,704551
40,724755
40,783164
40,809326
40,808497
40,846221
50,818268
50,814321
50,807708
50,742260
50,697170
50,718094
50,695602
50,655467
50,711597
50,718354
60,710207
60,643329
60,577898
60,558857
60,490174
65,489449
65,402234
65,335337
65,352874
65,239181
65,242273
65,229580
65,213970
65,199341
65,150848
65,121235
65,114058
65,101588
65,109370
65,81295
65,62824
65,55780
65,43644
65,34855
65,27561
65,21584
65,15783
65,10958
65,8161
65,5358
65,3731
65,3139
65,2019
65,1395
65,825
65,567
65,447
65,418
65,301
65,649
