city,elderly_2019,elderly_2020,elderly_2021,elderly_2022,elderly_2023
강원,1382,3428,3210,4019,3642
경기,19744,18925,21099,27238,26418
경남,3813,4341,4287,5713,5706
경북,1104,4133,4145,4948,4926
광주,1603,2337,2325,2983,2579
대구,5270,5064,5749,7145,5784
대전,1973,2443,2514,3495,3055
부산,9846,6822,7147,10585,11109
서울,17393,14296,15391,23066,26005
세종,52,63,121,111,241
울산,270,1636,1443,1488,1622
인천,3978,1785,4847,6154,6100
전남,1671,2122,2299,3630,3512
전북,942,3405,3363,4299,4424
제주,1139,1072,1004,1330,1304
충남,1830,2423,2885,3887,3576
충북,1283,1707,2168,2851,2893
